csv_row	link	title	author	normalized_url	lanacion_nid	internal_dup	repo_status	matched_post_qmd	pertinence	draft_eligible	draft_qmd	suggested_slug	notes
2	https://www.linkedin.com/pulse/moral-distance-artificial-intelligence-eduardo-levy-yeyati-2wpjf/?trackingId=KZXfG5n1reAcWy3XeZYDVQ%3D%3D	The Moral Distance of Artificial Intelligence	Eduardo Levy Yeyati	https://www.linkedin.com/pulse/moral-distance-artificial-intelligence-eduardo-levy-yeyati-2wpjf			candidate		yes	yes	cepe-pending-2.qmd	the-moral-distance-of-artificial-intelligence	
3	https://www.lanacion.com.ar/opinion/que-futuro-refleja-el-boom-de-acciones-tecnologicas-nid19112025/	¿Qué futuro refleja el boom de acciones tecnológicas?		https://www.lanacion.com.ar/opinion/que-futuro-refleja-el-boom-de-acciones-tecnologicas-nid19112025	19112025		candidate		yes	yes	cepe-pending-3.qmd	qué-futuro-refleja-el-boom-de-acciones-tecnológicas	
4	https://www.lanacion.com.ar/ideas/fuera-de-control-el-verdadero-peligro-de-la-ia-no-es-que-piense-por-si-misma-nid04102025/	Fuera de control: El verdadero peligro de la IA no es que piense por sí misma		https://www.lanacion.com.ar/ideas/fuera-de-control-el-verdadero-peligro-de-la-ia-no-es-que-piense-por-si-misma-nid04102025	04102025		candidate		yes	yes	cepe-pending-4.qmd	fuera-de-control-el-verdadero-peligro-de-la-ia-no-es-que-piense-por-sí-misma	
5	https://www.lanacion.com.ar/opinion/una-inteligencia-artificial-que-hable-nuestro-idioma-nid10092025/	Una inteligencia artificial que hable nuestro idioma		https://www.lanacion.com.ar/opinion/una-inteligencia-artificial-que-hable-nuestro-idioma-nid10092025	10092025		published	una-inteligencia-artificial-que-hable-nuestro-idioma.qmd	yes	no		una-inteligencia-artificial-que-hable-nuestro-idioma	
6	https://www.lanacion.com.ar/ideas/saberes-el-riesgo-de-tercerizar-en-la-ia-las-tareas-complejas-de-pensamiento-nid09082025/	Saberes: El riesgo de tercerizar en la IA las tareas complejas de pensamiento		https://www.lanacion.com.ar/ideas/saberes-el-riesgo-de-tercerizar-en-la-ia-las-tareas-complejas-de-pensamiento-nid09082025	09082025		published	la-paradoja-de-tercerizar-el-pensamiento-en-la-ia.qmd	yes	no		saberes-el-riesgo-de-tercerizar-en-la-ia-las-tareas-complejas-de-pensamiento	
7	https://www.lanacion.com.ar/ideas/deepseek-una-via-a-la-soberania-tecnologica-o-una-nueva-dependencia-nid22022025/	DeepSeek: ¿Una vía a la “soberanía” tecnológica o una nueva dependencia?		https://www.lanacion.com.ar/ideas/deepseek-una-via-a-la-soberania-tecnologica-o-una-nueva-dependencia-nid22022025	22022025		published	deepseek-atajo-a-la-soberanía-tecnológica-o-nueva-dependencia.qmd	yes	no		deepseek-una-vía-a-la-soberanía-tecnológica-o-una-nueva-dependencia	
8	https://www.lanacion.com.ar/economia/amando-al-robot-la-fragil-linea-entre-lo-real-y-lo-artificial-nid27102024/	Amando al robot: la frágil línea entre lo real y lo artificial		https://www.lanacion.com.ar/economia/amando-al-robot-la-fragil-linea-entre-lo-real-y-lo-artificial-nid27102024	27102024		candidate		yes	yes	cepe-pending-8.qmd	amando-al-robot-la-frágil-línea-entre-lo-real-y-lo-artificial	
9	https://www.lanacion.com.ar/ideas/factor-humano-cual-es-el-tipo-de-conocimiento-humano-al-que-aun-no-llega-la-inteligencia-artificial-nid21092024/	¿Cuál es el tipo de conocimiento humano al que aún no llega la inteligencia artificial?		https://www.lanacion.com.ar/ideas/factor-humano-cual-es-el-tipo-de-conocimiento-humano-al-que-aun-no-llega-la-inteligencia-artificial-nid21092024	21092024		candidate		yes	yes	cepe-pending-9.qmd	cuál-es-el-tipo-de-conocimiento-humano-al-que-aún-no-llega-la-inteligencia-artif	
10	https://www.lanacion.com.ar/economia/el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnologico-sino-tambien-humano-nid15092024/	Avances de la IA: El futuro, siempre incierto, probablemente no sea solo tecnológico, sino también humano		https://www.lanacion.com.ar/economia/el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnologico-sino-tambien-humano-nid15092024	15092024		candidate		yes	yes	cepe-pending-10.qmd	avances-de-la-ia-el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnológic	
11	https://cepr.org/voxeu/columns/market-value-non-degree-credentials-new-evidence-37-million-us-workers	La IA y el trabajo: el factor humano será clave en el desarrollo y uso de la inteligencia artificial general		https://cepr.org/voxeu/columns/market-value-non-degree-credentials-new-evidence-37-million-us-workers			candidate		yes	yes	cepe-pending-11.qmd	la-ia-y-el-trabajo-el-factor-humano-será-clave-en-el-desarrollo-y-uso-de-la-inte	
